user id: 000007,start time: 1658682636313
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1658682636319","Logged in with user id: 000007","01-LoginScene","False","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.4, -0.1, 0.3)","User Id Input","null","null","(-0.2, -0.2, 0.2)","(-0.1, -0.2, 0.2)","(-0.1, 0.0, -0.1)","(-0.5, -0.3, 0.8)","(-0.4, -0.1, 0.3)","User Id Input","","","","","logged_in"
"1658682668414","Task 1 started, instantiating start instructions.","02-WelcomeScene","False","(-0.1, 0.0, 0.0)","(-0.6, -0.3, 0.8)","(-0.1, 0.0, 0.1)","Quad","null","null","(-0.2, -0.2, 0.3)","(-0.1, -0.2, 0.3)","(-0.1, 0.0, 0.0)","(-0.6, -0.3, 0.8)","(-0.1, 0.0, 0.1)","Quad","","","","","task1_started"
"1658682668417","Instantiating instructions.","02-WelcomeScene","False","(-0.1, 0.0, 0.0)","(-0.6, -0.3, 0.8)","(-0.1, 0.0, 0.1)","Quad","null","null","(-0.2, -0.2, 0.3)","(-0.1, -0.2, 0.3)","(-0.1, 0.0, 0.0)","(-0.6, -0.3, 0.8)","(-0.1, 0.0, 0.1)","Quad","","","","","showing_instructions"
"1658682678043","Instructions finished.","03-Task1Scene","False","(-0.1, 0.0, 0.0)","(-0.4, -0.6, 0.7)","(-0.5, -0.6, 0.7)","Header Text","null","null","(-0.2, -0.3, 0.3)","(-0.1, -0.2, 0.3)","(-0.1, 0.0, 0.0)","(-0.4, -0.6, 0.7)","(-0.5, -0.6, 0.7)","Header Text","","","","","instructions_finished"
"1658682679052","Start instructions finished.","03-Task1Scene","False","(-0.1, 0.0, 0.0)","(-0.4, -0.6, 0.7)","(-0.1, -0.1, 0.1)","Quad","null","null","(-0.2, -0.2, 0.3)","(-0.1, -0.2, 0.3)","(-0.1, 0.0, 0.0)","(-0.4, -0.6, 0.7)","(-0.1, -0.1, 0.1)","Quad","","","","",""
"1658682697150","Button pressed, starting animation.","03-Task1Scene","False","(0.0, 0.1, -0.1)","(0.1, -0.3, 1.0)","(0.0, 0.0, 0.0)","","(0.1, -0.3, 0.2)","(0.0, -0.3, 0.1)","(0.0, -0.2, 0.4)","(0.1, -0.2, 0.3)","(0.0, 0.1, -0.1)","(0.1, -0.3, 1.0)","(0.0, 0.0, 0.0)","","(0.2, -0.9, 2.7)","(0.0, -0.1, 0.4)","","","button_pressed"
"1658682704160","Animation finished.","03-Task1Scene","False","(0.0, 0.0, -0.1)","(0.0, -0.2, 1.0)","(0.0, 0.0, 0.0)","","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, -0.3, 0.2)","(0.0, -0.3, 0.2)","(0.0, 0.0, -0.1)","(0.0, -0.2, 1.0)","(0.0, 0.0, 0.0)","","(0.0, -0.9, 1.8)","","","","animation_finished"
"1658682705151","Instantiating middle instructions.","03-Task1Scene","False","(0.0, 0.0, -0.1)","(0.0, -0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, -0.3, 0.2)","(0.0, -0.3, 0.2)","(0.0, 0.0, -0.1)","(0.0, -0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, -0.9, 1.8)","","","",""
"1658682705161","Instantiating instructions.","03-Task1Scene","False","(0.0, 0.0, -0.1)","(0.0, -0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, -0.3, 0.2)","(0.0, -0.3, 0.2)","(0.0, 0.0, -0.1)","(0.0, -0.2, 1.0)","(0.0, 0.0, 0.0)","Quad","(0.0, -0.9, 1.8)","","","","showing_instructions"
"1658682713912","Instructions finished.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.1, -0.4, 0.9)","(-0.1, -0.3, 0.9)","Header Text","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, -0.3, 0.2)","(0.0, -0.3, 0.2)","(0.0, 0.0, 0.0)","(-0.1, -0.4, 0.9)","(-0.1, -0.3, 0.9)","Header Text","","","","","instructions_finished"
"1658682714972","Middle instructions finished, starting the timer.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.1, -0.4, 0.9)","(-0.1, 0.0, 0.1)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, -0.3, 0.2)","(0.0, -0.3, 0.2)","(0.0, 0.0, 0.0)","(-0.1, -0.4, 0.9)","(-0.1, 0.0, 0.1)","Quad","","","","",""
"1658682714974","Openning the timer.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.1, -0.4, 0.9)","(-0.1, 0.0, 0.1)","Quad","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, -0.3, 0.2)","(0.0, -0.3, 0.2)","(0.0, 0.0, 0.0)","(-0.1, -0.4, 0.9)","(-0.1, 0.0, 0.1)","Quad","","","","","openning_timer"
"1658682718843","Button pressed, starting animation.","03-Task1Scene","False","(0.0, 0.0, -0.1)","(0.0, -0.3, 1.0)","(0.0, 0.0, 0.0)","","(0.1, -0.3, 0.2)","(0.0, -0.3, 0.1)","(0.0, -0.3, 0.5)","(0.0, -0.3, 0.4)","(0.0, 0.0, -0.1)","(0.0, -0.3, 1.0)","(0.0, 0.0, 0.0)","","(-0.1, -1.0, 2.7)","(-0.1, -0.3, 0.5)","","","button_pressed"
