user id: Y14092,start time: 1659562323668
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659562323681","Logged in with user id: Y14092","01-LoginScene","False","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, -0.2, 0.4)","Caret","null","null","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.5, 0.9)","(0.0, -0.2, 0.4)","Caret","","","","","logged_in"
"1659562355472","Task 1 started, instantiating start instructions.","02-WelcomeScene","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","","","","","task1_started"
"1659562355472","Instantiating instructions.","02-WelcomeScene","False","(0.0, 0.0, 0.0)","(-0.2, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, 0.0)","(-0.2, -0.2, 1.0)","(0.0, 0.0, 0.1)","Quad","","","","","showing_instructions"
"1659562365029","Instructions finished.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.1, -0.3, 0.9)","(-0.2, -0.3, 0.9)","Header Text","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, 0.0)","(-0.1, -0.3, 0.9)","(-0.2, -0.3, 0.9)","Header Text","","","","","instructions_finished"
"1659562366040","Start instructions finished.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.1, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","null","null","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(-0.1, -0.3, 0.9)","(0.0, 0.0, 0.1)","Quad","","","","",""
"1659562448170","Button pressed, starting animation.","03-Task1Scene","False","(0.0, 0.1, -0.1)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 0.0)","","null","null","(-0.1, -0.1, 0.5)","(0.0, -0.1, 0.4)","(0.0, 0.1, -0.1)","(-0.1, 0.0, 1.0)","(0.0, 0.0, 0.0)","","(-0.3, -0.1, 2.9)","(-0.1, 0.0, 0.5)","","","button_pressed"
"1659562455231","Animation finished.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.1, -0.3, 1.0)","(0.0, 0.0, 0.0)","","null","null","(0.0, -0.2, 0.1)","(0.0, -0.3, 0.1)","(0.0, 0.0, 0.0)","(-0.1, -0.3, 1.0)","(0.0, 0.0, 0.0)","","(-0.1, -1.0, 1.7)","","","","animation_finished"
"1659562456230","Instantiating middle instructions.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.1, -0.3, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.0, -0.2, 0.1)","(0.0, -0.3, 0.1)","(0.0, 0.0, 0.0)","(-0.1, -0.3, 1.0)","(0.0, 0.0, 0.1)","Quad","(-0.1, -1.0, 1.7)","","","",""
"1659562456230","Instantiating instructions.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.1, -0.3, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","(0.0, -0.2, 0.1)","(0.0, -0.3, 0.1)","(0.0, 0.0, 0.0)","(-0.1, -0.3, 1.0)","(0.0, 0.0, 0.1)","Quad","(-0.1, -1.0, 1.7)","","","","showing_instructions"
"1659562465001","Instructions finished.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.2, -0.4, 0.9)","(-0.2, -0.3, 0.9)","Header Text","null","null","(0.0, -0.2, 0.1)","(0.0, -0.3, 0.1)","(0.0, 0.0, 0.0)","(-0.2, -0.4, 0.9)","(-0.2, -0.3, 0.9)","Header Text","","","","","instructions_finished"
"1659562466032","Middle instructions finished, starting the timer.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.2, -0.4, 0.9)","(-0.1, 0.0, 0.1)","Quad","null","null","(0.0, -0.2, 0.1)","(0.0, -0.3, 0.1)","(0.0, 0.0, 0.0)","(-0.2, -0.4, 0.9)","(-0.1, 0.0, 0.1)","Quad","","","","",""
"1659562466061","Openning the timer.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.2, -0.4, 0.9)","(-0.1, 0.0, 0.1)","Quad","null","null","(0.0, -0.2, 0.1)","(0.0, -0.3, 0.1)","(0.0, 0.0, 0.0)","(-0.2, -0.4, 0.9)","(-0.1, 0.0, 0.1)","Quad","","","","","openning_timer"
"1659562474631","Button pressed, starting animation.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.0)","","null","null","(-0.2, -0.3, 0.5)","(-0.1, -0.3, 0.4)","(0.0, 0.0, 0.0)","(-0.2, -0.3, 0.9)","(0.0, 0.0, 0.0)","","(-0.5, -1.2, 2.7)","(-0.1, -0.3, 0.5)","","","button_pressed"
