user id: 000013,start time: 1659891964841
timestamp,event message,last loaded scene,is eye tracking valid and enabled,eye gaze origin,eye gaze direction,eye gaze hit position,eye gaze target name,left hand index position,left hand palm position,right hand index position,right hand palm position,head gaze origin,head gaze direction,head gaze hit position,head gaze target name,3d model position,button 1 position,button 2 position,button 3 position,event
"1659891964857","Logged in with user id: 000013","01-LoginScene","False","(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 0.5)","Caret","null","null","null","null","(0.0, 0.0, 0.0)","(0.0, 0.0, 1.0)","(0.0, 0.0, 0.5)","Caret","","","","","logged_in"
"1659891996642","Task 1 started, instantiating start instructions.","02-WelcomeScene","False","(0.0, 0.0, -0.1)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","(0.0, -0.5, 0.2)","(0.1, -0.5, 0.1)","(0.0, 0.0, -0.1)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.0)","Quad","","","","","task1_started"
"1659891996645","Instantiating instructions.","02-WelcomeScene","False","(0.0, 0.0, -0.1)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.0)","Quad","null","null","(0.0, -0.5, 0.2)","(0.1, -0.5, 0.1)","(0.0, 0.0, -0.1)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.0)","Quad","","","","","showing_instructions"
"1659892006251","Instructions finished.","03-Task1Scene","False","(0.0, 0.0, 0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.0)","","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","null","null","(0.0, 0.0, 0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.0)","","","","","","instructions_finished"
"1659892007246","Start instructions finished.","03-Task1Scene","False","(0.0, 0.0, 0.1)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.2)","Quad","null","null","null","null","(0.0, 0.0, 0.1)","(0.1, 0.0, 1.0)","(0.0, 0.0, 0.2)","Quad","","","","",""
"1659892016418","Button pressed, starting animation.","03-Task1Scene","False","(0.0, 0.0, 0.0)","(0.1, -0.1, 1.0)","(0.0, 0.0, 0.0)","","null","null","(0.1, -0.1, 0.6)","(0.1, -0.1, 0.5)","(0.0, 0.0, 0.0)","(0.1, -0.1, 1.0)","(0.0, 0.0, 0.0)","","(0.4, -0.3, 3.0)","(0.1, -0.1, 0.6)","","","button_pressed"
"1659892023472","Animation finished.","03-Task1Scene","False","(0.0, 0.0, -0.1)","(0.2, 0.1, 1.0)","(0.0, 0.0, 0.0)","","null","null","null","null","(0.0, 0.0, -0.1)","(0.2, 0.1, 1.0)","(0.0, 0.0, 0.0)","","(0.4, -0.3, 1.9)","","","","animation_finished"
"1659892024475","Instantiating middle instructions.","03-Task1Scene","False","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","(0.3, -0.3, 1.9)","","","",""
"1659892024475","Instantiating instructions.","03-Task1Scene","False","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","null","null","null","null","(0.0, 0.0, -0.1)","(0.1, 0.1, 1.0)","(0.0, 0.0, 0.1)","Quad","(0.3, -0.3, 1.9)","","","","showing_instructions"
"1659892033212","Instructions finished.","03-Task1Scene","False","(0.0, 0.0, -0.1)","(0.1, -0.1, 1.0)","(0.1, -0.1, 0.9)","Header Text","null","null","(0.1, -0.4, 0.2)","(0.2, -0.4, 0.1)","(0.0, 0.0, -0.1)","(0.1, -0.1, 1.0)","(0.1, -0.1, 0.9)","Header Text","","","","","instructions_finished"
